name,years/1996/vae
Aruba,2.5
Andorra,
Afghanistan,
Angola,
Anguilla,
Albania,
Netherlands Antilles (former),
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antigua and Barbuda,
Australia,
Austria,
Azerbaijan,
Burundi,
Belgium,
Benin,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
"Bahamas, The",
Bosnia and Herzegovina,
Belarus,
Belize,
Bermuda,
Bolivia,
Brazil,
Barbados,
Brunei Darussalam,
Bhutan,
Botswana,
Central African Republic,
Canada,
Switzerland,
Chile,
China,
Côte d'Ivoire,
Cameroon,
"Congo, Rep.",
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Cayman Islands,
Cyprus,
Czech Republic,
Germany,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
"Egypt, Arab Rep.",
Eritrea,
Spain,
Estonia,
Ethiopia,
Finland,
Fiji,
France,
"Micronesia, Fed. Sts.",
Gabon,
United Kingdom,
Georgia,
Ghana,
Guinea,
"Gambia, The",
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
"Hong Kong SAR, China",
Honduras,
Croatia,
Haiti,
Hungary,
Indonesia,
India,
Ireland,
"Iran, Islamic Rep.",
Iraq,
Iceland,
Israel,
Italy,
Jamaica,
"Jersey, Channel Islands",
Jordan,
Japan,
Kazakhstan,
Kenya,
Kyrgyz Republic,
Cambodia,
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",
Kosovo,
Kuwait,
Lao PDR,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
"Macao SAR, China",
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Mexico,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar,
Montenegro,
Mongolia,
Mozambique,
Mauritania,
Martinique,
Mauritius,
Malawi,
Malaysia,
Namibia,
Niger,
Nigeria,
Nicaragua,
Niue,
Netherlands,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Panama,
Peru,
Philippines,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
"Korea, Dem. Rep.",
Portugal,
Paraguay,
Qatar,
Réunion,
Romania,
Russian Federation,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Singapore,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
Serbia,
South Sudan,
São Tomé and Principe,
Suriname,
Slovak Republic,
Slovenia,
Sweden,
Eswatini,
Seychelles,
Syrian Arab Republic,
Chad,
Togo,
Thailand,
Tajikistan,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad and Tobago,
Tunisia,
Türkiye,
Tuvalu,
"Taiwan, China",
Tanzania,
Uganda,
Ukraine,
Uruguay,
United States,
Uzbekistan,
St. Vincent and the Grenadines,
"Venezuela, RB",
Virgin Islands (U.S.),
Vietnam,
Vanuatu,
West Bank and Gaza,
Samoa,
"Yemen, Rep.",
South Africa,
"Congo, Dem. Rep.",
Zambia,
Zimbabwe,
